latitude,longitude,soil_moisture_01,surface_temperature_01,soil_moisture_02,surface_temperature_02,soil_moisture_03,surface_temperature_03,soil_moisture_04,surface_temperature_04,soil_moisture_05,surface_temperature_05,soil_moisture_06,surface_temperature_06,soil_moisture_07,surface_temperature_07,soil_moisture_08,surface_temperature_08,soil_moisture_09,surface_temperature_09,soil_moisture_10,surface_temperature_10,soil_moisture_11,surface_temperature_11,soil_moisture_12,surface_temperature_12
-43.332268,-69.27386,0.0597746,25.019006347656273,,,,,,,,,,,,,,,,,,,,,,
-37.430386,-46.867218,0,26.264794921875023,,,,,,,,,,,,,,,,,,,,,,
-46.09634,-51.721992,0,20.969293212890648,,,,,,,,,,,,,,,,,,,,,,
-52.549908,-38.278008,0,8.120874023437523,,,,,,,,,,,,,,,,,,,,,,
-46.911266,-21.473028,0,12.930993652343773,,,,,,,,,,,,,,,,,,,,,,
-30.966091,-45.373444,0,29.529687500000023,,,,,,,,,,,,,,,,,,,,,,
-19.42553,-49.481327,0.22381471,30.383172607421898,,,,,,,,,,,,,,,,,,,,,,
-11.802501,-43.132782,0.14576444,36.9881530761719,,,,,,,,,,,,,,,,,,,,,,
3.8157291,-84.9585,0,35.3294616699219,,,,,,,,,,,,,,,,,,,,,,
-36.027473,-24.834024,0,23.039331054687523,,,,,,,,,,,,,,,,,,,,,,
-28.694414,-49.85477,0.57099926,23.061120605468773,,,,,,,,,,,,,,,,,,,,,,
-0.7061257,-42.759335,0,33.92998657226565,,,,,,,,,,,,,,,,,,,,,,
-2.1187947,-85.70539,0,31.784051513671898,,,,,,,,,,,,,,,,,,,,,,
-28.3739,-70.76763,0.07386827,27.879296875000023,,,,,,,,,,,,,,,,,,,,,,
-41.431942,-44.626556,0,20.128686523437523,,,,,,,,,,,,,,,,,,,,,,
-26.15579,-43.87967,0,31.427606201171898,,,,,,,,,,,,,,,,,,,,,,
-34.30753,-27.448133,0,25.041986083984398,,,,,,,,,,,,,,,,,,,,,,
11.226317,-83.46473,0,33.87526855468752,,,,,,,,,,,,,,,,,,,,,,
-27.101122,-49.85477,0.40588096,24.433740234375023,,,,,,,,,,,,,,,,,,,,,,
-34.64869,-71.51453,0.10560994,24.925805664062523,,,,,,,,,,,,,,,,,,,,,,
-23.056093,-44.626556,0.50497234,27.342767333984398,,,,,,,,,,,,,,,,,,,,,,
-29.661814,-71.51453,0,24.983850097656273,,,,,,,,,,,,,,,,,,,,,,
-21.229897,-24.834024,0,32.60747680664065,,,,,,,,,,,,,,,,,,,,,,
9.790613,-33.79668,0,32.06850585937502,,,,,,,,,,,,,,,,,,,,,,
-4.9487443,-20.352697,0,32.92550048828127,,,,,,,,,,,,,,,,,,,,,,
-41.431942,-30.435684,0,19.435845947265648,,,,,,,,,,,,,,,,,,,,,,
3.5327194,-64.792534,0.23047,21.669915771484398,,,,,,,,,,,,,,,,,,,,,,
-32.62151,-47.987553,0,28.500512695312523,,,,,,,,,,,,,,,,,,,,,,
-17.93678,-69.6473,0.04613911,12.568383789062523,,,,,,,,,,,,,,,,,,,,,,
-54.916687,-74.502075,0,12.660485839843773,,,,,,,,,,,,,,,,,,,,,,
-32.28808,-77.11618,0,26.084039306640648,,,,,,,,,,,,,,,,,,,,,,
-41.058483,-30.435684,0,19.900598144531273,,,,,,,,,,,,,,,,,,,,,,
-45.693314,-55.456432,0,20.368737792968773,,,,,,,,,,,,,,,,,,,,,,
-22.7501,-70.39419,0,28.538476562500023,,,,,,,,,,,,,,,,,,,,,,
10.077242,-37.157677,0,31.952905273437523,,,,,,,,,,,,,,,,,,,,,,
-49.86661,-33.049793,0,10.327386474609398,,,,,,,,,,,,,,,,,,,,,,
-7.790537,-70.76763,0.3903429,26.341333007812523,,,,,,,,,,,,,,,,,,,,,,
-16.754568,-64.04565,0.29852605,27.935388183593773,,,,,,,,,,,,,,,,,,,,,,
-39.950367,-47.987553,0,23.673120117187523,,,,,,,,,,,,,,,,,,,,,,
-51.63809,-74.502075,0,15.021600341796898,,,,,,,,,,,,,,,,,,,,,,
-19.42553,-22.219917,0,32.13738403320315,,,,,,,,,,,,,,,,,,,,,,
