lat/lng,soil_moisture_01,surface_temperature_01,soil_moisture_02,surface_temperature_02,soil_moisture_03,surface_temperature_03,soil_moisture_04,surface_temperature_04,soil_moisture_05,surface_temperature_05,soil_moisture_06,surface_temperature_06,soil_moisture_07,surface_temperature_07,soil_moisture_08,surface_temperature_08,soil_moisture_09,surface_temperature_09,soil_moisture_10,surface_temperature_10,soil_moisture_11,surface_temperature_11,soil_moisture_12,surface_temperature_12
"-36.72578,-53.962654",-9999.0,,298.33163,,,,,,,,,,,,,,,,,,,,,,,
"0.7061257,-66.65975",0.3570182,,298.60385,,,,,,,,,,,,,,,,,,,,,,,
"-9.504226,-71.141075",0.2806784,,298.21567,,,,,,,,,,,,,,,,,,,,,,,
"-16.166172,-71.88797",0.048528,,293.29407,,,,,,,,,,,,,,,,,,,,,,,
"-53.012913,-80.47718",-9999.0,,286.45453,,,,,,,,,,,,,,,,,,,,,,,
"-50.303333,-81.22407",-9999.0,,287.5713,,,,,,,,,,,,,,,,,,,,,,,
"3.2497935,-68.52697",0.41053706,,298.35394,,,,,,,,,,,,,,,,,,,,,,,
"-25.217896,-75.24896",-9999.0,,298.43036,,,,,,,,,,,,,,,,,,,,,,,
"-27.735691,-74.502075",-9999.0,,297.95062,,,,,,,,,,,,,,,,,,,,,,,
"-41.431942,-76.74274",-9999.0,,295.3403,,,,,,,,,,,,,,,,,,,,,,,
"-52.549908,-85.70539",-9999.0,,286.43613,,,,,,,,,,,,,,,,,,,,,,,
"-45.293133,-55.829876",-9999.0,,293.68292,,,,,,,,,,,,,,,,,,,,,,,
"-45.293133,-76.36929",-9999.0,,292.45834,,,,,,,,,,,,,,,,,,,,,,,
"-2.1187947,-67.40664",0.42918012,,298.30157,,,,,,,,,,,,,,,,,,,,,,,
"-44.108894,-33.423237",-9999.0,,288.73984,,,,,,,,,,,,,,,,,,,,,,,
"-2.1187947,-20.726141",-9999.0,,305.89447,,,,,,,,,,,,,,,,,,,,,,,
"-9.790613,-44.253113",0.11333168,,307.7072,,,,,,,,,,,,,,,,,,,,,,,
"-40.317745,-26.701244",-9999.0,,293.9954,,,,,,,,,,,,,,,,,,,,,,,
"-6.367726,-68.52697",0.37308848,,298.6205,,,,,,,,,,,,,,,,,,,,,,,
"-23.67014,-49.85477",0.27028677,,302.52856,,,,,,,,,,,,,,,,,,,,,,,
"-34.30753,-77.489624",-9999.0,,298.48294,,,,,,,,,,,,,,,,,,,,,,,
"-53.954033,-55.829876",-9999.0,,285.32446,,,,,,,,,,,,,,,,,,,,,,,
"-8.075637,-70.76763",0.31611025,,300.72012,,,,,,,,,,,,,,,,,,,,,,,
"-12.091032,-72.26141",0.24989499,,293.65356,,,,,,,,,,,,,,,,,,,,,,,
"-21.229897,-71.88797",-9999.0,,300.9542,,,,,,,,,,,,,,,,,,,,,,,
"-51.63809,-31.92946",-9999.0,,281.00763,,,,,,,,,,,,,,,,,,,,,,,
"-12.669013,-47.240665",0.14593726,,306.11847,,,,,,,,,,,,,,,,,,,,,,,
"-4.3820276,-68.15353",0.40883785,,298.7156,,,,,,,,,,,,,,,,,,,,,,,
"-33.29207,-28.19502",-9999.0,,298.89307,,,,,,,,,,,,,,,,,,,,,,,
"-21.532677,-73.381744",-9999.0,,299.91382,,,,,,,,,,,,,,,,,,,,,,,
"-33.629246,-26.3278",-9999.0,,298.54276,,,,,,,,,,,,,,,,,,,,,,,
"-44.89572,-56.576763",-9999.0,,293.0342,,,,,,,,,,,,,,,,,,,,,,,
"-47.738617,-33.423237",-9999.0,,286.9073,,,,,,,,,,,,,,,,,,,,,,,
"-30.311827,-25.207468",-9999.0,,302.3208,,,,,,,,,,,,,,,,,,,,,,,
"-32.956165,-24.834024",-9999.0,,299.49377,,,,,,,,,,,,,,,,,,,,,,,
"-11.514265,-45.746887",0.16283733,,303.7162,,,,,,,,,,,,,,,,,,,,,,,
"-11.514265,-22.59336",-9999.0,,304.97018,,,,,,,,,,,,,,,,,,,,,,,
"-47.738617,-30.809128",-9999.0,,284.8419,,,,,,,,,,,,,,,,,,,,,,,
"-30.966091,-25.207468",-9999.0,,301.37732,,,,,,,,,,,,,,,,,,,,,,,
"-41.80753,-56.950207",-9999.0,,291.54318,,,,,,,,,,,,,,,,,,,,,,,
"-39.950367,-50.601658",-9999.0,,299.19574,,,,,,,,,,,,,,,,,,,,,,,
"4.3820276,-40.892117",-9999.0,,306.39468,,,,,,,,,,,,,,,,,,,,,,,
"4.3820276,-67.033195",0.29694387,,296.6235,,,,,,,,,,,,,,,,,,,,,,,
"-33.29207,-74.87552",-9999.0,,297.88113,,,,,,,,,,,,,,,,,,,,,,,
"-40.6871,-30.06224",-9999.0,,293.34732,,,,,,,,,,,,,,,,,,,,,,,
"-18.233519,-72.63486",-9999.0,,301.79758,,,,,,,,,,,,,,,,,,,,,,,
"-8.075637,-20.352697",-9999.0,,305.23056,,,,,,,,,,,,,,,,,,,,,,,
"-9.790613,-20.352697",-9999.0,,304.94095,,,,,,,,,,,,,,,,,,,,,,,
"-44.108894,-31.92946",-9999.0,,289.73013,,,,,,,,,,,,,,,,,,,,,,,
"-41.058483,-27.448133",-9999.0,,293.44305,,,,,,,,,,,,,,,,,,,,,,,
"-42.565308,-57.32365",-9999.0,,292.42572,,,,,,,,,,,,,,,,,,,,,,,
"3.2497935,-68.15353",0.4419699,,298.53976,,,,,,,,,,,,,,,,,,,,,,,
"-13.828882,-20.352697",-9999.0,,303.9811,,,,,,,,,,,,,,,,,,,,,,,
"-33.29207,-76.74274",-9999.0,,298.89526,,,,,,,,,,,,,,,,,,,,,,,
"-32.28808,-27.821577",-9999.0,,300.19974,,,,,,,,,,,,,,,,,,,,,,,
"-52.091694,-56.576763",-9999.0,,286.8504,,,,,,,,,,,,,,,,,,,,,,,
"-34.991234,-77.11618",-9999.0,,298.1304,,,,,,,,,,,,,,,,,,,,,,,
"0.4236687,-43.506226",-9999.0,,307.0382,,,,,,,,,,,,,,,,,,,,,,,
"-51.63809,-59.190872",-9999.0,,288.28268,,,,,,,,,,,,,,,,,,,,,,,
"-48.579163,-78.983406",-9999.0,,289.65607,,,,,,,,,,,,,,,,,,,,,,,
"10.077242,-40.892117",-9999.0,,305.21106,,,,,,,,,,,,,,,,,,,,,,,
"-30.638416,-28.19502",-9999.0,,302.07275,,,,,,,,,,,,,,,,,,,,,,,
"-37.785137,-77.11618",-9999.0,,297.4384,,,,,,,,,,,,,,,,,,,,,,,
"-37.430386,-77.11618",-9999.0,,297.59814,,,,,,,,,,,,,,,,,,,,,,,
"-7.2208962,-70.020744",0.3679842,,299.34152,,,,,,,,,,,,,,,,,,,,,,,
"-52.549908,-81.22407",-9999.0,,286.65372,,,,,,,,,,,,,,,,,,,,,,,
"-33.967724,-49.107883",-9999.0,,301.80188,,,,,,,,,,,,,,,,,,,,,,,
"-6.367726,-21.473028",-9999.0,,305.7658,,,,,,,,,,,,,,,,,,,,,,,
"-14.70247,-71.88797",0.19080865,,283.0434,,,,,,,,,,,,,,,,,,,,,,,
"-53.954033,-82.3444",-9999.0,,286.00995,,,,,,,,,,,,,,,,,,,,,,,
"-50.303333,-84.9585",-9999.0,,287.11987,,,,,,,,,,,,,,,,,,,,,,,
"9.218072,-42.759335",-9999.0,,305.1673,,,,,,,,,,,,,,,,,,,,,,,
"-11.226317,-20.352697",-9999.0,,304.42307,,,,,,,,,,,,,,,,,,,,,,,
"-52.091694,-33.423237",-9999.0,,281.65485,,,,,,,,,,,,,,,,,,,,,,,
