latitude,longitude,soil_moisture_01, soil_mp,soil_moisture,surface_temperature_01, suf_temp_mp,surface_temperature,soil_moisture_02,surface_temperature_02,soil_moisture_03,surface_temperature_03,soil_moisture_04,surface_temperature_04,soil_moisture_05,surface_temperature_05,soil_moisture_06,surface_temperature_06,soil_moisture_07,surface_temperature_07,soil_moisture_08,surface_temperature_08,soil_moisture_09,surface_temperature_09,soil_moisture_10,surface_temperature_10,soil_moisture_11,surface_temperature_11,soil_moisture_12,surface_temperature_12
11.514265,-46.12033,0,0,0,384.067370605469,12,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-45.746887,0,0,0,416.2608459472660,13,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-45.373444,0,0,0,480.12405395507800,15,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-30.435684,0,0,0,378.0692626953130,12,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-30.06224,0,0,0,474.2239379882820,15,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-29.688797,0,0,0,348.12136230468800,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-29.315353,0,0,0,347.29958496093800,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-28.941908,0,0,0,345.8901916503910,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-28.568464,0,0,0,344.8780456542970,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-28.19502,0,0,0,344.2193542480470,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-27.821577,0,0,0,343.2084899902350,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-27.448133,0,0,0,342.2859436035160,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-27.074688,0,0,0,467.0741882324220,15,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-26.701244,0,0,0,342.6278625488280,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-26.3278,0,0,0,342.6897521972660,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-25.954357,0,0,0,342.6181274414070,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-25.580914,0,0,0,342.7997680664070,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-25.207468,0,0,0,343.1489807128910,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-24.834024,0,0,0,343.6099182128910,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-24.46058,0,0,0,344.7416320800780,11,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-24.087137,0,0,0,471.98818969726600,15,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-23.713694,0,0,0,442.03812255859400,14,0,,,,,,,,,,,,,,,,,,,,,,
11.514265,-23.340248,0,0,0,379.9513427734380,12,0,,,,,,,,,,,,,,,,,,,,,,
