latitude,longitude,soil_moisture_01,surface_temperature_01,soil_moisture_02,surface_temperature_02,soil_moisture_03,surface_temperature_03,soil_moisture_04,surface_temperature_04,soil_moisture_05,surface_temperature_05,soil_moisture_06,surface_temperature_06,soil_moisture_07,surface_temperature_07,soil_moisture_08,surface_temperature_08,soil_moisture_09,surface_temperature_09,soil_moisture_10,surface_temperature_10,soil_moisture_11,surface_temperature_11,soil_moisture_12,surface_temperature_12
-9.218072,-71.51453,0.28508785,24.707971191406273,,,,,,,,,,,,,,,,,,,,,,
-9999.0,-9999.0,0,0,,,,,,,,,,,,,,,,,,,,,,
-17.93678,-21.473028,0,31.056359863281273,,,,,,,,,,,,,,,,,,,,,,
-42.94761,-80.47718,0,19.698937988281273,,,,,,,,,,,,,,,,,,,,,,
-15.286747,-22.59336,0,30.850213623046898,,,,,,,,,,,,,,,,,,,,,,
-10.364119,-21.846474,0,31.780358886718773,,,,,,,,,,,,,,,,,,,,,,
-26.470053,-75.99585,0,25.490899658203148,,,,,,,,,,,,,,,,,,,,,,
-31.294872,-74.87552,0,24.400323486328148,,,,,,,,,,,,,,,,,,,,,,
8.646433,-67.78008,0.2130049,33.12175903320315,,,,,,,,,,,,,,,,,,,,,,
-41.80753,-75.24896,0,21.700219726562523,,,,,,,,,,,,,,,,,,,,,,
-6.0836515,-70.76763,0.21740474,24.580804443359398,,,,,,,,,,,,,,,,,,,,,,
0.14122179,-42.38589,0,33.9182067871094,,,,,,,,,,,,,,,,,,,,,,
-16.754568,-70.76763,0.12440389,15.770867919921898,,,,,,,,,,,,,,,,,,,,,,
-45.693314,-77.489624,0,18.221459960937523,,,,,,,,,,,,,,,,,,,,,,
-20.927721,-70.76763,0,28.139611816406273,,,,,,,,,,,,,,,,,,,,,,
-11.226317,-21.846474,0,31.439172363281273,,,,,,,,,,,,,,,,,,,,,,
-22.444773,-74.87552,0,27.140710449218773,,,,,,,,,,,,,,,,,,,,,,
-18.828493,-23.340248,0,31.676965332031273,,,,,,,,,,,,,,,,,,,,,,
-31.62478,-27.821577,0,27.028039550781273,,,,,,,,,,,,,,,,,,,,,,
-20.626143,-24.46058,0,31.995080566406273,,,,,,,,,,,,,,,,,,,,,,
-25.529726,-50.975105,0.29981196,21.571008300781273,,,,,,,,,,,,,,,,,,,,,,
-49.86661,-80.850624,0,15.010125732421898,,,,,,,,,,,,,,,,,,,,,,
-29.01589,-24.834024,0,29.606896972656273,,,,,,,,,,,,,,,,,,,,,,
-30.966091,-49.107883,0,29.329125976562523,,,,,,,,,,,,,,,,,,,,,,
-12.379867,-46.493774,0.10811399,30.603356933593773,,,,,,,,,,,,,,,,,,,,,,
3.8157291,-67.78008,0.505442,24.835992431640648,,,,,,,,,,,,,,,,,,,,,,
-2.1187947,-20.352697,0,32.7648864746094,,,,,,,,,,,,,,,,,,,,,,
-19.72485,-21.846474,0,31.556695556640648,,,,,,,,,,,,,,,,,,,,,,
-36.72578,-54.709545,0,26.422967529296898,,,,,,,,,,,,,,,,,,,,,,
-2.966945,-42.759335,0.073657095,33.22890625000002,,,,,,,,,,,,,,,,,,,,,,
