Start date;End date;Country;ISO;Location;Disaster type;Disaster subtype;Total affected;Total damage ('000 US$);Insured losses ('000 US$);Total deaths;Disaster No.
20/12/2015;26/12/2015;Brazil;BRA;Rio Grande do Sul province;Flood;Riverine flood;9000;0;0;0;2015-0551
20/12/2015;26/12/2015;Uruguay;URY;Artigas, Cerro Largo, Paysandu, Rivera, Salto, Tacuarembo provinces;Flood;Riverine flood;16000;0;0;0;2015-0551
23/12/2015;27/1/2016;Paraguay;PRY;Puerto Yvapovo, Puerto Santa Rosa, Puerto San Roque, Angelita, Tape Kaaguy, Santo Loma areas (S.pedro De Ycuamandyyu district, San Pedro province), Mbopicua, Puerto Amistad Villa del Rosario areas (Villa Del Rosario district, San Pedro province), Poroto, Monte Alto, Barranquerita areas (Anterquara district, San Pedro province), Concepcion, Misiones, Neembucu, Amambay, Presidente Hayes, Central provinces;Flood;Riverine flood;136450;0;0;12;2015-0551
1/1/2016;25/1/2016;Ecuador;ECU;Guayas, Bol�var, Esmeraldas, Cotopaxi, Los R�os, Manab�, Imbabura, Santo Domingo de los Ts�chilas, El Oro provinces;Flood;Flash flood;10000;10000;0;9;2016-0032
9/1/2016;15/1/2016;Brazil;BRA;Arapongas, Rol�ndia, Londrina districts (Parana province), Sao Paulo province, Aquidauana, Miranda, Dois Irm�os do Buriti, Taquarussu districts (Mato Grosso do Sul province);Flood;--;50500;100000;0;3;2016-0033
24/1/2016;26/1/2016;Ecuador;ECU;Atacames, Rioverde, Esmeraldas districts (Esmeraldas province);Flood;Riverine flood;23955;0;0;0;2016-0039
20/2/2016;25/2/2016;Peru;PER;Puno, Arequipa, Cusco, Junin provinces;Flood;--;10000;2000;0;2;2016-0054
28/2/2016;3/3/2016;Bolivia (Plurinational State of);BOL;Sur Yungas, Nor Yungas, Camacho, Bautista Saavedra districts (La Paz province), Apolo municipality (Franz Tamayo district, La Paz province), Achocalla municipality (Murillo district, La Paz province), Puerto Villaroel municipality (Carrasco district, Cochabamba province), Arani district (Cochabamba province);Flood;--;120;0;0;0;2016-0246
10/3/2016;11/3/2016;Brazil;BRA;Mairipora, Francisco Morato, Itapevi, Guarulhos, Cajamar districts (Sao Paulo province), Rio de Janeiro province;Flood;Flash flood;0;100000;0;30;2016-0077
4/4/2016;15/4/2016;Argentina;ARG;Entre Rios, Corrientes, Santa Fe, Chaco, Formosa, Santiago del Estero, Buenos Aires, Cardoba provinces;Flood;Riverine flood;72119;1000000;50000;0;2016-0127
12/4/2016;11/5/2016;Uruguay;URY;"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces";Flood;--;10605;3000;0;8;2016-0115
15/4/2016;18/4/2016;Chile;CHL;Metropolitana district (Santiago province);Flood;Riverine flood;100;100000;0;12;2016-0118
18/10/2016;22/10/2016;Colombia;COL;Choco department;Flood;Riverine flood;2200;0;0;4;2016-0533
26/11/2016;5/12/2016;Bolivia (Plurinational State of);BOL;Tiquipaya (Quillacollo-Cochabamba department), Tipuani (Larecaja-La Paz), Lagunillas (Cordillera-Santa Cruz);Flood;--;5300;0;0;4;2016-0522
26/11/2016;5/12/2016;Colombia;COL;Cali city (Silo� district);Flood;--;72;0;0;6;2016-0522
26/11/2016;5/12/2016;Venezuela (Bolivarian Republic of);VEN;Miranda, Nueva Esparta, Monagas provinces;Flood;--;0;0;0;0;2016-0522
25/12/2016;26/12/2016;Argentina;ARG;"Pergamino, Ramallo, Col�n, Arrecifes, Rojas, Salto, San Nicol�s, Florentino Ameghino, General Villegas, Baradero, San Antonio de Areco (Buenos Aires); Jovita (General Roca), Villa Dolores (San Javier), La Cumbre, La Falda, Villa Giardini (Punilla), Rio Ceballos, Salsipuedes, Agua de Oro, Jes�s Mar�a, Colonia Caroya (Colon) (C�rdoba); Maria Teresa (General Lopez), Allvarez (Rosario) (Santa Fe) ; La Paz, Parana (Entre Rios)";Flood;Riverine flood;13650;2000;0;0;2016-0519
5/1/2017;7/2/2017;Colombia;COL;Nari�o Department (Olaya Herrera, Arboleda, Barbacoas, Roberto Pay�n, Magui Pay�n, Policarpa, Santa B�rbara de Iscuand�, Tumaco);Flood;--;25661;0;0;0;2017-0225
14/1/2017;1/2/2017;Peru;PER;Arequipa, Camana, Caraveli, Castile, Caylloma, Condesuyos, Islay, La Union (Arequipa). Huancavelica, Acobamba, Angaraes, Castrovirreyna, Huaytara, Tayacaja (Huancavelica), Ica, Nasca, Palpa, Pisco (Ica), Canete, Canta, Huarochirir, Lima, Oyon, Yauyos (Lima);Flood;--;376000;100000;0;15;2017-0036
1/2/2017;7/2/2017;Peru;PER;"Lambayeque, Morrope, Tucume, Illimo, Pacora, Jayanca, Olmos, Motupe, Salas, Cayalti, San Jose, Mochumi districts (Lambayeque province);  Chiclayo, Ortiz, La Victoria, Pimentel, Monsefu, Santa Rosa, Puerto Eten, Lagunas, Chongoyape, Patapo, Pomalca, Cayalti, Zana, Eten, Tuman, Picsi, Pucala, Reque, Jos� Leonardo Orti districts (Chiclayo province); Ferrenafe province";Flood;--;12000;0;0;1;2017-0052
23/2/2017;3/3/2017;Colombia;COL;Cundinamarca (Guacheta), Huila (Rivera), Antioquia (Medellin, Itagui, Aburra Valley) departments;Flood;--;2000;0;0;1;2017-0223
24/2/2017;3/3/2017;Chile;CHL;Santiago, Valparaiso, O'Higgins, Antofagasta, Coquimbo;Flood;--;1200;2000;0;3;2017-0055
15/3/2017;19/3/2017;Peru;PER;" Ancash department (Huarmey, Casma,  El Santa provinces); Tumbes department (Zarumilla and Tumbes provinces); Lima department (Lima, Huarochir� and Canta provinces), La Libertad department (Trujillo province), Chiclayo department (Chiclayo province), Piura department (Piura province)";Flood;--;1800505;3100000;380000;184;2017-0084
17/3/2017;27/3/2017;Colombia;COL;Antioquia, Cundinamarca, Cauca, Valle del Cauca, Nari�o, Santander, Choc�, Caldas, Putumayo, C�sar, Risaralda;Flood;Riverine flood;3000;2000;0;12;2017-0215
27/3/2017;7/4/2017;Argentina;ARG;"Comodoro Rivadavia (Escalante - Patagonia); Santa Rosa (Canuelas-Buenos Aires); Jujuy, Salta, Tucum�n, Santiago del Estero, Catamarca, San Juan, Mendoza, C�rdoba, Formosa, Misiones, Santa Fe, La Pampa, Chubut, Santa Cruz provinces";Flood;--;39777;0;0;0;2017-0104
5/4/2017;21/4/2017;Argentina;ARG;"Southern East Coast; Chubut province. Comodoro Rivadavia, Caleta Cordova and Laprida";Flood;--;9000;0;0;1;2017-0221
11/5/2017;15/5/2017;Chile;CHL;Atacama (Cha�aral, Diego de Almagro, Freirina-Huasco), Coquimbo (Monte Patria Ovalle- Limari,Andacollo-Elqui);Flood;Flash flood;3000;0;0;2;2017-0218
20/5/2017;25/5/2017;Guyana;GUY;"Highland areas and border with Brazil; Cuyuni-Mazaruni (Region Seven), Purima, Kako, Jawalla, Phillipi, Kamarang and Duebamang, Potaro- Siparuni (Region Eight), Kaibarupai, Waipa, Chenapau, Sand Hill Settlement, Itabac andKanapang";Flood;Riverine flood;3274;0;0;0;2017-0216
26/5/2017;10/6/2017;Brazil;BRA;Pernambuco (Caruaru, Ipojuca, Joaquim Nabuco, Jurema, Lagoa dos Gatos, Primavera, Quipap�, Sirinha�m, Tamandar�, Xex�u, Bel�m de Maria, Gameleira, Palmares, Amaraji, Maraial, Ribeir�o, Cort�s, Barra de Guabiraba, S�o Benedito do Sul, Rio Formoso, Catende, �gua Preta, Jaqueira, Barreiros), Alagoas (Metropolitan Region, Paraiba Valley, Mundau Valley, North Coast, Grota de Santo Amaro, Callej�n de la Anast�cia, Riacho Velho, Carrasco, Piedras, Malhadas, Barra Nova, Playa Franc�s, Sitio Auxiliadora, Mac�io, Atalaia, S�o Luis do Quitunde, Satuba, Uni�o dos Palmares, Capela, Ch� Preta, Col�nia Leopoldina, Jacu�pe, Jundi�, Marechal Deodoro, Paulo Jacinto, Pilar, Quebrangulo, Rio Largo, Santa Luzia do Norte, Santana do Munda�, S�o Jos� da Laje, Branquinha, Cajueiro, Palmeira dos �ndios, Pedoca);Flood;Riverine flood;104140;100000;0;14;2017-0202
29/5/2017;14/6/2017;Argentina;ARG;Entre Rios, Corrientes;Flood;Riverine flood;3000;0;0;0;2017-0195
29/5/2017;14/6/2017;Uruguay;URY;Salto, Paysand�, Artigas, R�o Negro;Flood;Riverine flood;6639;0;0;0;2017-0195
16/6/2017;17/6/2017;Chile;CHL;Coquimbo, Los Lagos, Bio Bio (Curanilahue), Maule, Metropolitan (Santiago), Araucania, O'Higgins, Los Rios, Valparaiso;Flood;Riverine flood;3024;0;0;4;2017-0185
9/11/2017;9/11/2017;Colombia;COL;Corinto (Cauca);Flood;--;192;0;0;22;2017-0478
13/1/2018;22/1/2018;Paraguay;PRY;Ba�ado Norte, Chacarita, Ba�ado Sur;Flood;Riverine flood;5000;0;0;0;2018-0066
20/1/2018;20/1/2018;Argentina;ARG;Santa M�nica, Tiro Federal, Gin�s Ben�tez, Monse�or de Carlo, Santa Elena, Hip�lito Yrigoyen, S�enz Pe�a, Milenium, San Jos�, Pi�eiro, Nala, Pablo VI, Quinta Ocho (Chaco) -> all in Presidencia Roque S�enz Pe�a;Flood;--;45000;0;0;0;2018-0074
31/1/2018;21/2/2018;Argentina;ARG;Chaco and Salta Province;Flood;--;17000;0;0;0;2018-0038
10/2/2018;21/2/2018;Bolivia (Plurinational State of);BOL;Tarija, Cochabamba, ;Flood;Flash flood;12186;0;0;6;2018-0062
14/2/2018;16/2/2018;Brazil;BRA;Rio de Janeiro;Flood;--;250;10000;0;4;2018-0040
12/3/2018;17/4/2018;Colombia;COL;Norte de Santander, Cundinamarca, Choco, Narino, Tolima, Santander, Antioquia, Boyaca, Valle del Cauca;Flood;--;0;0;0;14;2018-0131
20/3/2018;21/3/2018;Brazil;BRA;Sao Paulo;Flood;--;1000;43000;0;3;2018-0112
1/8/2018;10/8/2018;Venezuela (Bolivarian Republic of);VEN;Bolivar, Monagas, Amazonas states;Flood;--;9700;0;0;0;2018-0290
25/9/2018;28/9/2018;Venezuela (Bolivarian Republic of);VEN;Vargas, Aragua;Flood;Flash flood;1000;0;0;2;2018-0386
1/10/2018;17/10/2018;Colombia;COL;La Guajira, Caldas departments;Flood;--;60000;0;0;12;2018-0396
1/11/2018;19/11/2018;Paraguay;PRY;Banado Norte, Chacarita, Banado Sur;Flood;--;41300;0;0;0;2018-0442
12/11/2018;12/11/2018;Argentina;ARG;Lomas de Zamora, La Matanza, Lobos, La Plata, Arrecifes, Marcos Paz, Lanus (Buenos Aires Province);Flood;Flash flood;1420;0;0;0;2018-0439
10/1/2019;23/1/2019;Uruguay;URY;Artigas, Durazno, Florida, Soriano, Salto;Flood;--;5427;0;0;0;2019-0040
